"","x"
"1",134.770004272461
"2",138.509994506836
"3",138.289993286133
"4",138.199996948242
"5",136.830001831055
"6",134.470001220703
"7",136.960006713867
"8",138.339996337891
"9",140.039993286133
"10",137.389999389648
"11",141.229995727539
"12",143.169998168945
"13",144.199996948242
"14",144.339996337891
"15",144.520004272461
"16",146.089996337891
"17",147.639999389648
"18",146.679992675781
"19",149.100006103516
"20",148.75
"21",148.369995117188
"22",146.179992675781
"23",146.490005493164
"24",148.899993896484
"25",149.160003662109
"26",148.669998168945
"27",147.410003662109
"28",147.5
"29",147.270004272461
"30",147.779998779297
"31",147.050003051758
"32",149.210006713867
"33",150.570007324219
"34",149.860000610352
"35",142.360000610352
"36",140.160003662109
"37",138.869995117188
"38",141.279998779297
"39",142.139999389648
"40",140.880004882812
"41",141.649993896484
"42",142.419998168945
"43",140.020004272461
"44",141.059997558594
"45",140.889999389648
"46",141.550003051758
"47",142.600006103516
"48",141.110000610352
"49",143.699996948242
"50",143.550003051758
"51",144.800003051758
"52",145.259994506836
"53",145.550003051758
"54",145.889999389648
"55",145.190002441406
"56",140.410003662109
"57",140.619995117188
"58",141.199996948242
"59",141.860000610352
"60",141.490005493164
"61",140.759994506836
"62",134.449996948242
"63",134.389999389648
"64",135.300003051758
"65",134.729995727539
"66",135.089996337891
"67",136.389999389648
"68",136.940002441406
"69",136.179992675781
"70",135.839996337891
"71",135.979995727539
"72",133.75
"73",135.600006103516
"74",137.350006103516
"75",136.009994506836
"76",136.399993896484
"77",135
"78",135.020004272461
"79",131.710006713867
"80",130.970001220703
"81",130.789993286133
"82",130.570007324219
"83",130.490005493164
"84",129.300003051758
"85",128.190002441406
"86",128.929992675781
"87",129.639999389648
"88",130.190002441406
"89",128.25
"90",128.050003051758
"91",126.160003662109
"92",125.449996948242
"93",125.580001831055
"94",124.650001525879
"95",123.279998779297
"96",124.699996948242
"97",123.690002441406
"98",125.940002441406
"99",126.569999694824
"100",124.050003051758
"101",123.370002746582
"102",125.290000915527
"103",129.309997558594
"104",129.339996337891
"105",129.710006713867
"106",129.220001220703
"107",131.089996337891
"108",132.059997558594
"109",131.600006103516
"110",132.139999389648
"111",130.5
"112",131.029998779297
"113",130.419998168945
"114",128.539993286133
"115",127.900001525879
"116",128.139999389648
"117",127.819999694824
"118",127.779998779297
"119",126.319999694824
"120",126.360000610352
"121",125.730003356934
"122",125.400001525879
"123",125.889999389648
"124",125.849998474121
"125",126.970001220703
"126",126.410003662109
"127",126.089996337891
"128",125.160003662109
"129",123.449996948242
"130",122.569999694824
"131",123.650001525879
"132",123.400001525879
"133",121.169998168945
"134",122.019996643066
"135",120.900001525879
"136",122.839996337891
"137",123.360000610352
"138",123.459999084473
"139",125.709999084473
"140",126.150001525879
"141",127.26000213623
"142",127.5
"143",128.179992675781
"144",125.680000305176
"145",126.76000213623
"146",128.889999389648
"147",129.479995727539
"148",128.589996337891
"149",129.820007324219
"150",132.419998168945
"151",132.639999389648
"152",132.690002441406
"153",134.380004882812
"154",134.410003662109
"155",135.300003051758
"156",136.419998168945
"157",137.600006103516
"158",137.199996948242
"159",138.399993896484
"160",137.479995727539
"161",135.960006713867
"162",133.690002441406
"163",131.169998168945
"164",129.429992675781
"165",131.339996337891
"166",132.339996337891
"167",131.759994506836
"168",134.059997558594
"169",133.809997558594
"170",133.669998168945
"171",134.240005493164
"172",132.160003662109
"173",132.080001831055
"174",132.899993896484
"175",134.440002441406
"176",132.839996337891
"177",133.919998168945
"178",133.399993896484
"179",134.240005493164
"180",135.360000610352
"181",135.479995727539
"182",138.380004882812
"183",138.940002441406
"184",139.539993286133
"185",140.330001831055
"186",141.070007324219
"187",142.970001220703
"188",143.449996948242
"189",144.179992675781
"190",143.330001831055
"191",144.169998168945
"192",144.449996948242
"193",144.240005493164
"194",146.179992675781
"195",145.910003662109
"196",142.490005493164
"197",143.25
"198",143.119995117188
"199",141.910003662109
"200",141.869995117188
"201",140.639999389648
"202",140.660003662109
"203",141.410003662109
"204",142.279998779297
"205",141.490005493164
"206",143.410003662109
"207",143.550003051758
"208",145.350006103516
"209",146.020004272461
"210",146.449996948242
"211",146.860000610352
"212",146.830001831055
"213",147.940002441406
"214",148.130004882812
"215",148.059997558594
"216",147.520004272461
"217",147.679992675781
"218",148.380004882812
"219",146.300003051758
"220",146.550003051758
"221",147.350006103516
"222",145.990005493164
"223",145.089996337891
"224",146.520004272461
"225",149.830001831055
"226",147.380004882812
"227",146.910003662109
"228",146.479995727539
"229",143.240005493164
"230",143.169998168945
"231",141.580001831055
"232",140.300003051758
"233",140.800003051758
"234",140.389999389648
"235",141.070007324219
"236",141.520004272461
"237",142.029998779297
"238",142.199996948242
"239",142.110000610352
"240",143.229995727539
"241",141.240005493164
"242",138.460006713867
"243",139.210006713867
"244",140.320007324219
"245",139.970001220703
"246",138.009994506836
"247",137.160003662109
"248",136.380004882812
"249",137.789993286133
"250",137.080001831055
"251",143.759994506836
"252",142.520004272461
"253",142.630004882812
"254",144.639999389648
"255",145.399993896484
"256",147.009994506836
"257",147.899993896484
"258",148.970001220703
"259",148.830001831055
"260",148.029998779297
"261",146.619995117188
"262",149.020004272461
"263",148.100006103516
"264",150.410003662109
"265",152.580001831055
"266",153.059997558594
"267",152.889999389648
"268",154.350006103516
"269",153.910003662109
"270",155.130004882812
"271",155.179992675781
"272",155.570007324219
"273",155.649993896484
"274",156.410003662109
"275",158.559997558594
"276",160.550003051758
"277",161.100006103516
"278",161.389999389648
"279",160.279998779297
"280",160.220001220703
"281",161.960006713867
"282",163.509994506836
"283",164.710006713867
"284",163.619995117188
"285",162.910003662109
"286",162.229995727539
"287",162.740005493164
"288",161.559997558594
"289",160.050003051758
"290",160.779998779297
"291",162.139999389648
"292",163.210006713867
"293",163.460006713867
"294",163.75
"295",163.550003051758
"296",161.5
"297",160.100006103516
"298",160.860000610352
"299",159.160003662109
"300",161.139999389648
"301",160.080001831055
"302",161.229995727539
"303",162.160003662109
"304",165.800003051758
"305",166.960006713867
"306",166.080001831055
"307",166.839996337891
"308",171.479995727539
"309",172.830001831055
"310",173.940002441406
"311",173.929992675781
"312",190.429992675781
"313",187.419998168945
"314",187.139999389648
"315",187.869995117188
